标题,星级,内容,标签
"Punctuality, attentive service = smooth flying",4,"Two destinations, in fact. First Hongkong for a few days and then Fukuoka (via Dragonair), but return has layover at Hongkong for a few hours. Flights were all on time, no hassle. Tickets were bought on promotion with double Asia Mile points offered. It's their new plane A35 that offers leg and foot rest, a nice feature, and they say...",International' 'Premium Economy' 'Vancouver - Fukuoka
Super serivce--comfortable flight in Economy plus,5,"Cathay airlines does a good job--extremely organized boarding process and very attentative to passengers on the flight.
I sat in Economy Plus--def. worth the extra money. The seats are wider, there is more leg space, the seats recline further back and there is a comfy leg rest which allows you to stretch out your legs. I was actually able to...",International' 'Premium Economy' 'Los Angeles - Phuket
"No complaints, no compliments",3,"Nothing special. I was traveling due to business, and selected a center row bulkhead seat for the extra legroom. The fight was about as basic as could be. The food was bland. The service was basic. My ultimate destination was Manila, with an overnight in Hong Kong. I checked two bags from Chicago to Hong Kong, plaining to recover both...",International' 'Economy' 'Chicago - Hong Kong
No phone nor internet nor text communication when cancelling your flight. Business Class,2,"We were flying out of Basi, Indonesia on the day of the volcanic eruptions.Cathy Pacfic just canceled our flight! We could not reach the airline by phone nor the internet! We were staying at the Fourseasons hotel, which always has people at the airport. The Fourseason hotel concierges along with their airport personnel got us a fight out of Bali...",International' 'Business Class' 'Denpasar - San Francisco
Still a quality airline.,5,"Cathay Pacific runs a tight organization. From all of the employees that are associated with the carrier.The NY to HK run must take a lot out of anyone after a while. Working a double shift on a cramped compressed to be of steel must be draining. So if someone from economy complains about inattentive flight crew, take it with a...",International' 'Economy' 'White Plains - Bangkok
Tremendous cabin service,5,"Due to a medical condition, I am on a restricted diet. The flight attendants were extremely solicitous, offering me to cook a special meal to help with my situation, Several of them came by to offer help. Far above expectations.",International' 'Economy' 'Osaka - Boston
Type of passengers make the flight,3,A`great flight as plane only half full and several full seat rows vacant to stretch out and sleep. Mostly seniors travelling on holidays and excellent service. But returned Madrid to Hong Kong on Cathay Pacific and it was an extremely bad experience. Completely full of local Hong Kong younger families with little children (maybe a conference or similar group). Many...,International' 'Economy' 'Hong Kong - London
Travel to Malaysia from JFK,5,"Long haul flight from JFK with connection in Hong Kong, on my way to Penang. Great personal service and food was very good. Not so generous with the wine and spirits service, as you need to ask for refills. Triple 777 Boeing aircraft seating and sleeping pods are very well designed an entertainment choices are very international and varied.",International' 'Business Class' 'New York City - Penang
Disappointed,1,Our flight from Bali was cancelled on Nov 26th as the flight did not come in from Hong Kong. Cathay said it was due to the volcano but our friends left the same day on an Eva flight that was at approximatwly the same time. We ended up staying two more nights in Bali then making a long drive to...,International' 'Economy' 'Denpasar - Calgary
get those planes off the ground,3,"First of all I can't say enough about how well I was treated by all airline staff. HOWEVER, make sure that you have at LEAST two hours between connections. My outgoing flight was delayed by one hour and we hit head winds so instead of making up time we lost some. I had just over one and a half hours...",International' 'Economy' 'San Francisco - New Delhi
Rountrip: 2 to 5,4,"Flew rt ewr to bkk. Shocked at the cramped seats in economy!!!! Service was only average. Returning i paid extra for premium economy. A totally different experience! Seats were outstanding. Service was 5 star. Not sure what the reason was, but it was like being in a totally different airline. Overall, i have to say ANA and JAL are much...",International' 'Economy' 'Newark - Bangkok
Great Flight,5,This was my first time on this airline as I usually fly a star alliance airline. I am surprised. Great service for a long flight. Crew was always checking up to ensure you had all you needed. In Flight entertatkiment had a good selection of movies and shows to watch.,International' 'Business Class' 'San Francisco - Chennai (Madras)
Best in the business,5,"These people have the art of serving you down pat. The thing that makes them good is the sincere interest they have when you ask for something or chat with them.
On time...professional service and caring",International' 'Economy' 'Toronto - Hong Kong
A long flight,5,"The flight was 22 hours, 39 minutes with a 4 hour lay-over in Seoul, south Korea. The seat was not very comfortable for such a long flight. The meals served were delicious. Each meal was large enough to fill you until the next meal. Every passenger was given a comfort package which included slippers. I appreciated that.",International' 'Economy' 'Toronto - Cebu Island
The best airline,5,"I have flown internationally on many occasions. Cathay Pacific is by far my favourite airline. It seems that their departures always leave on time. The in flight service is always great, i especially appreciate the vast selections of quality movies to watch, especially on long flights. On one occasion I needed to change my departure date and Cathay changed the...",International' 'Economy' 'Bangkok - Vancouver
Comfortable service and plane for 15 hours,4,"I always take Cathay to and from HK as 15 hours on a plane can be painful enough, without having to transit. Cathay has non-stop flights and while long I always arrive somewhat fresh at both ends. This time I took premium economy and from a previous flight knew that the arm rests in the row of four seats lift...",International' 'Premium Economy' 'Hong Kong - New York City
Great Overnight Driect Flight,5,Cathay has a great flights leaving from LAX and JFK most all evenings with a direct flight to Hong Kong. The flights usually leaves between 12:3A and 1:45A. Arriving in Hong Kong the following day around 5A. Leaving on one of these overnight flights saves you a day getting to your final destination in Asia. Plus allows you good time...,International' 'Premium Economy' 'Los Angeles - Hong Kong
Disappointed service,3,"I used to be a die-hard fan of Cathy Pacific. Every time when I traveled Hong Kong I would only consider Cathy Pacific. However, I need change my mind and open my choice to other airlines in future ...
I just traveled Hong Kong in September, booked the Business Class (paid in full and not from an upgrade by points)....",International' 'Business Class' 'Toronto - Hong Kong
"The boarding process is really easy , the food is so much better than our domestic airlines",5,"I love to travel with Cathay pacific. The stewards(esses) are some of the best and I have a lifetime mileage across all airlines of 4, miles so I have seen a lot.
The boarding process is well managed and the staff are very helpful when it comes to assisting you with bags when tere is nowhere to put them. The...",International' 'Economy' 'Bangkok - Istanbul
One of the very best experiences flying we've ever had!,5,Larger seats. More leg room. An enhanced menu. The best service we've experienced on a flight! They even provided hot towels to wash our hands before dinner. The crew could not have been more solicitous.,International' 'Premium Economy' 'Hong Kong - Boston
First Trip Overseas,5,"Planning for a first time trip overseas can be a little intimidating. I had ASAP tickets as my travel agent and they obtained the Cathay Pacific tickets for me. From the time of my arrival in Chicago to my arrival in Manila, the flights were fantastic. Some may not think that economy is the preferred way to fly, but when...",International' 'Economy' 'Chicago - Manila
Proven top airlines,5,"Couple times in row they ve been number one airlines in charts. Proven. Staff is very attractive and attentive with big smile. Had transfer in Hong Kong. Economy is comfortable, infotainment system is good. Tried business class very good for long flight you can stretch like in bed in capsule. Difinately recommend. Food is ok.",International' 'Economy' 'New York City - Phuket
BEST,5,"I have flown numerous times from Boston to Hong Kong over the past ten years. Cathay Pacific has the FIRST non-stop, the most comfortable seats in coach, and the best service of any airlines I have experienced. Their customer service also once helped me in a crisis at the LA airport with lost luggage. They upgraded us without our asking...",International' 'Economy' 'Hong Kong - Boston
Very Pleasant Travel,5,"We chose CP because of the positive reviews it got and we were not disappointed. We flew CP both legs of our fight- to HK and on to Bangkok. The service was very good. The food was also enjoyable and plenty of it. Good selection of movies and t.v. to watch. Legroom was sufficient, even for such a long flight.",International' 'Economy' 'San Francisco - Bangkok
Amazing Flight,5,Flying Cathay Pacific lives up to all the hype. It is a fantastic airline with great service. The seats are great. It can get a bit hot in the cabin while attempting to sleep. We will definitely fly CX again next time we head to HKG,International' 'First Class' 'Hong Kong - Chicago
great airline,5,"Great airline- lots of legroom and great staff. Unlike many North American airlines that charge for meals, meals were complimentary and fantastic. Great food selection, beer, wine and soft drinks all included, and even ice cream and lots of other snacks available during the entire flight. Entertainment on board was good- a lot of newer movies available.",International' 'Premium Economy' 'Hong Kong - Toronto
Vancouver to Dhaka,4,"There are options for this route now - China Southern being the most popular it sounds like. I think there are ways through Kunming too, but these are likely 2-stop. I flew Premium Economy YVR-HKG, and business HKG-DAC. The price was just over $#K CAD which I though was pretty good; gives you lounge access throughout becasue of the business...",International' 'Premium Economy' 'Vancouver - Dhaka City
"Nice airline, efficient, reliable, on-time",4,"Good quality carrier, reliable, efficient, on time, reasonably good service although FA's can be a bit off-handed",International' 'Premium Economy' 'Sydney - Frankfurt
Excellent Crew and Service,5,"A very big thank you to Edith, Kevin and the rest of the cabin crew who were very professional and calm when a medical problem with another passenger occurred on board the aircraft.
In-flight service was swift. Good hot food. A full aircraft with customers of varying ages, including babies. The cabin crew worked extremely hard. I fly worldwide and...",International' 'Economy' 'Melbourne - Hong Kong
Great Flight & Service,5,I flew Cathay Pacific from Newark to Bangkok with a layover in Hong Kong. The flight was comfortable and the premium economy seats and service were excellent. Overall if you have a long haul flight in mind Cathay Pacific is a top choice.,International' 'Premium Economy' 'Newark - Hong Kong
Great service and comfort,5,"They were nice enough to upgrade me to premium economy from economy and what difference. The service and food was great, as a one world emerald I had multiple crew members come by and welcome me and let me know if there was anything I needed to let them know, really nice touch.",International' 'Premium Economy' 'Hong Kong - Los Angeles
Good service for a long journey,3,My wife and I every time the we travel to Asia we used Cathay they provide an impeccable customer service to all the customer that flyer with them ?,International' 'Premium Economy' 'New York City - Hong Kong
Service does not live up to Advertising,3,"Took Cathay Pacific return Toronto to Hong Kong for two reasons: 1) convenient departure and arrival times 2) the purported quality of service, unfortunately service was rather poor and did not live up to their advertising.
Cathay Pacific states:From local favourites to international dishes, you will enjoy a variety of cuisines when you fly with us in Economy.and Enjoy an...",International' 'Economy' 'Toronto - Hong Kong
Mixed feelings,4,"Check in was quick and efficient and it was a direct flight to Hong Kong about 13 hours. Plenty of leg room, air crew tried to make us feel comfortable but there were limitations. Drinks were in ample supply.
The food was ATROCIOUS but there was no choice at about 4, ft. If there was a feedback requested I would...",International' 'Premium Economy' 'London - Hong Kong
Beware of short connections offered by Cathay at a premium fare. No commitment to deliver even when the fault is theirs,1,"My last trip with Cathay Pacific was a complete disaster. I had booked Cathay Pacific for my trip from Vancouver to Chennai on14th Nov at a premium fare as it had the shortest travel time of 21.5 hours with a 2 hour connection in Hong Kong and I strongly believed in their service , commitment and delivery. I ended up...",International' 'Economy' 'Vancouver - Chennai (Madras)
Very pleasant staff and lovely food,5,Flew from Hong Kong to Bangkok in October.Extremely pleasant crew.Good hot food.Very comfortable seats and plenty of room.,Southeast Asia' 'Business Class' 'Hong Kong - Bangkok
Very good service,5,"I travelled with Cathay AMS-HKG-MEL and SYD-HKG-CDG. The carrier offers very good on-board service, tasty meal and wide choice of drinks. All flights were on time so that we couldn't complain about anything.",International' 'Economy' 'Amsterdam - Melbourne
holiday,3,check in was good. seats and cabin was average. entertainment was average. I have flown with better air lines,International' 'Economy' 'Perth - London
Onboard service was not as efficient as advertised,4,"Welcoming glass of wine had to be consumed very quickly as she was collecting the glasses. Evening meal loaded in New York was not edible as the fish smelt spoilt, rice was very dry and vegetables were steamed beyond having any flavour. One glass of wine with the meal. No water or fluids prior to arrival.",Canada' 'Premium Economy' 'New York City - Vancouver
Recommended,4,"A good flight with Cathay is to be expected for it is on par with SQ and other leading airlines.
We had flown from Surabaya, transit in HK and then fly with Dragonair to Shanghai.
Interestingly there is very little difference in the meal quality between Cathay and Dragonair. Both served Haagen Dasz and both also served bad coffee.",Asia' 'Economy' 'Surabaya - Hong Kong
Excellent flight attendants,4,"Cathay Airlines serves excellent food, selection of entertainment and hire excellent flight attendants. On my flight from Hong Kong to LAX, flight attendant, Albert Lo always maintained a very professional and friendly demeanor, had a smile on his face and was very patient to help both customers as well as other crew members. While he was pushing the drink and...",International' 'Economy' 'Hong Kong - Los Angeles
The most outstanding coordination in service you can expect from any provider!,5,I landed 5am this morning at HKIA to receive a pleasant surprise - upgrade award certificates hand delivered by Frankie. This was followed by a prompt upgrade by Mika Mak at the service counter near gate 21 for my connecting flight to Chicago. You have managed to arrange all this within a short span of 8 days and with superb...,International' 'Business Class' 'Hong Kong - Chicago
期待更好來自國泰航空,3,"於我來說，國泰航空對於我的旅行需求選擇他們來說，我認為是高於平均水平或高端航空公司，但是我最近一次去東京的旅程中，我的整體經歷再次感到失望
他們正在使用這架飛機的飛機有些老化，看著我的恐懼，他們的娛樂系統不能再次實現，因為他們必須執行整個娛樂系統的“重新啟動”，然後起飛15-2分鐘，這不是我第一次有這樣的經驗，他們必須重新啟動他們的娛樂系統。他們的座位看起來像座位安全帶的蓋子，上面有一大塊藍色的包裹著一個破洞
機上服務的平均水平可能是經濟艙等級
由於許多折扣航空公司以較低的價格競爭相同的航線，我故意選擇國泰航空，期待高於平均水平的服務，所以我們可以享受我們的航班作為我們度假的一部分，但是，再一次我將不得不再次考慮我意識到自己的經歷後，再次旅行。
Cathay Pacific to me consider as an above average or premium airline whenever I pick them for my travel need, however my overall experience once again was somewhat disappointed after riding with them during my latest trip to Tokyo
The plane they are using for this route is somewhat aged and looking my fear of their...",North Asia' 'Economy' 'Hong Kong - Tokyo
"High fees, bad mileage policy",2,"I recently started to use Cathay a lot (including on my current trip) because I need to fly from HK often and they are a OneWorld carrier, so I thought I could accumulate some miles on American. However, I regret my decision now because (i) you don't get American credit on most Cathay economy flights - only Y, B &...",International' 'Economy' 'Hong Kong - London
Ok,3,"Flying to Hangzhou is an alternative to Shanghai if your working outside of the city or in a nearby City.
Relatively quiet airport. Prompt customs and passport.",North Asia' 'Economy' 'Hong Kong - Hangzhou
Downgrade,1,My wife and are due to fly to Ho Chi Minh City on Christmas Eve. We booked our flights months ago but have now been advised our seats have been down graded to economy by our travel agent Expedia. Cathay Pacific refuse to refund the extra money (about ￡5 ) and are offering us a voucher for future travel. What...,Southeast Asia' 'Premium Economy' 'Hong Kong - Ho Chi Minh City
"Good flight service, great seats, quality leg room",4,"First time flying with Cathay, check in was really good with on line check in available, really makes a difference. Seats were comfortable and leg room was excellent, both my husband and myself are tall and we had no complaints. Cabin service was customer focused and the food was pretty good. We also flew return to Brisbane via Hanoi and...",International' 'Economy' 'Brisbane - Ho Chi Minh City
Mixed results,3,"CP used to be one of my go to airlines when I travel across Asia. I would pay extra for service and comfort. This flight was mixed. The B777 is getting a bit old. No WiFi, got to wait for A35 ie Newark. On outbound flight the cabinet in the bathroom was broken and the crew tried to cellophane tape...",International' 'Economy' 'New York City - Hong Kong
Smooth experience,4,"Very well organised airline, no issues at all during check in, the flight or arrival. Decent entertainment system, food was on the better end for economy, and a quick transfer was managed very efficiently with a team member waiting at the gate to escort me and other travellers with the same connection through the airport, using the staff security line...",International' 'Economy' 'Perth - New York City
Flew CP from london to Aukland via HK return,5,London to Hong Kong uneventfull nice smooth flight; the layout was trully very comfortable and managed a good nights sleep; service was up to Cathay Pacific standards spent 2 days in hong kong sight seeing before flying on to Aukland the flight was fairly bumpy ( not that unusual but none the less noticeable as it disturbs sleep patterns) the...,International' 'Business Class' 'London - Auckland
The Friendly VERY Expensive Airline. One World Group.,5,"Cathay Pacific: Bali Denpasar/Indonesia - Hong Kong/China - 9/8/217 (business class) Flight No CX784
Good flight, good pilots and excellent service from the crew.
Only this Airline is to expensive for what you get.
Business launch: Poor food, very poor WiFi, ok service, ok seating, should have a smoking area.
Pre-boarding: Good
On Time: Yes
Food on board: very good...",Asia' 'Business Class' 'Denpasar - Hong Kong
Not as good as hoped,3,My wife and I travel to BOS quite often and have used JAL in the past. We decided to try this airline as we are not keen on NRT conditions. Trouble for us began with the "hike" from the lounge to the gate which I estimate was about 1 mile in length. Boarding conditions were good although late. Once on...,International' 'Business Class' 'Bangkok - Boston
Once again good flight,5,"A good smooth flight with on time departure out of AKL, and into HKG. The new dreamliner is so quiet. Good food served for the two main meals and larger than Air NZ serves on the same route.
The only issue I would mention is that the in-flight entertainment doesn't offer so much music or movies for westerners.",International' 'Economy' 'Auckland - Hong Kong
Great company! Best service,5,Great plane. Great service . So much space. Great movie choice. Love so much ro fly with cathay. They are an exemple of an airline who knows how to treat their customers!,International' 'Economy' 'Hong Kong - Tel Aviv
Not as good as BA,2,"I was quite disappointed with this airline.. I think they are new to premium economy. Happy to take the extra money but I don’t think they want to provide level of service that I gave see from other airlines in this class.
My big irritation was there was no toilet in the premium cabin. The stewardesses were very snotty about...",International' 'Premium Economy' 'London - Brisbane
Pleasantly Surprised,4,"London Heathrow to Hong Kong Boeing 777
Long flight good comfy Seat good leg room. was lucky middle seat was empty.
Good Food
Good Drinks nice large glass of Wine with Dinner
Good entertainment large screens USB port too
Hong Kong Melbourne Airbus A35 great plane good seat size one negative the setback pocket has no backing so every time...",International' 'Economy' 'London - Melbourne
Not quite right,4,"Going out from Manchester was good, food was OK and service was excellent. The lounges in Hong Kong for Cathay are fantastic - there are 5 lounges in HK that all belong to Cathay. The service and showers, views etc where brilliant. The food is a bit middle of the round, but its well presented - just not a huge...",International' 'Business Class' 'Manchester - Hong Kong
廣告與事實不符,1,"國泰以 Life Well Traveled 為廣告宣傳，叫人飛好D唔洗受氣，但係我既體驗正正與廣告相反。
1)T4的航運樓只有穿梭巴士接駁，不用計車程及等候浪費時間，巴士上既樓梯更要旅客大力士上身，搬幾十kg既行李上落。帶小朋友既旅客可以直接刪去坐國泰既計劃，以免要一邊照顧小孩，一邊搬行李及bb車，走去迫巴士。
2)當晚本人手上有數個 Longchamp 行李袋，包括有衣物及手信，十多kg既行李完全超過手提行李的重量及體積，我主動走到國泰櫃檯希望索取或購買紙箱，包好行李托運。當晚印度籍職員表示我可以將十多件行李手提上機，紙箱絕對不會給我，原因
i)紙箱只給last min bulk luggage的客人
ii)紙箱只給付超重行李費的客人
iii)紙箱很貴
我提問紙箱可以在那裡買，她回應我不知道，你自己去找。
我坐國泰就係因為廣告Life Well Traveled ，叫人飛好D唔洗受氣，但見到乘客大包小包(2個longchamp+手袋+購物袋)，完全沒有同理心，一以及沒有想同飛行安全(手提行李箱放不下的行李放在腳前，在逃生情況若行李阻擋通道，後果難以想像)。帶著一堆行李上機如何得到Life Well Traveled? 帶給我寫意的旅程。 體驗翺翔人生！
最後一位華籍職員幫助下才求取到紙箱，這個體驗從來未曾在其他航空公司體驗過。
補充 - EVA AIR(台北機場) 的員工更主動提供紙箱建議托運，以享受更舒適行程。
3)本人曾飛坐tiger air/ 星航/ jetstar等航空公司到新加坡，亦曾坐國泰(215年)。當年的over night flight 經濟館有hot meal，餐後更有H?agen-Dazs ice cream，與機組人員亦有交流，感受到被照顧。
查詢紙箱問題期間，我感到印度籍職員對公司的知識一知半解。
我提問她3個多小時航程之航班會有什麼餐飲服務。她回應一句，MAYBE BREAKFAST。後來華籍職員表示是 refreshment 即三文治。
我心中一早有答案，因為HKG-SIN已試過 over night flight 的refreshment，多次被印度籍職員打發的感受很不舒服。
我問她提供refreshment的餐飲給full service airline 的乘客，這樣洽當嗎?
國泰知道乘坐full service airline乘客的要求嗎?(包括地勤服務)
職員沒有正面回應。
------
餐飲服務跟接待旅客的禮儀質素之下降/低落，我還有坐國泰以FULL...",Asia' 'Economy' 'Singapore - Hong Kong
Don't be afraid to ask for what you want.,4,"I found the service overall on my 4 flights on Cathay Pacific to be adequate but a bit underwhelming. The crew on this flight was extra good, but I also found overall they were very accommodating to any requests (like an extra glass of water or wine) but you had to ask versus being offered.",Asia' 'Economy' 'Bangkok - Hong Kong
No wi-fi...,4,"I just can't believe they don't offer free wi-fi (or paid) on international flights, especially ones this long. They do have a decent movie selection though. They offered a dinner and breakfast, both decent meals but kind of oddly timed. Dinner was right when we got on and breakfast was 2 hours before we landed, at 9:3pm in new york.",International' 'Economy' 'Hong Kong - New York City
"Good Return Flight, Average Handling of the Late Arrival to Bangkok",3,"Cathay Pacific usually is a good airline, but this time the handling of the late arrival to Bangkok, was not that well handled by the ground staff before boarding. As the flight is near full, all the passengers, except for business class, premium class, and FFflyer card holders, were forced to stand in a line so close to the toilets,...",Asia' 'Economy' 'Bangkok - Hong Kong
Excellent Flight Experience,4,"The whole experience with this flight is awesome from the moment of check-in at the airport till arrival in Bangkok. Had a wonderful and very courteous check-in staff, who not only did a superb job to issue the boarding pass in 3 minutes, as well was able to change with the seat as requested. The flight went on time, arrived...",Southeast Asia' 'Economy' 'Hong Kong - Bangkok
Enjoyable Direct Long Haul,5,"Have flown this route several times over the last few years with BA (via London). Now that Cathay have a direct Manchester to Hong Kong flight decided to try this as cutting out any change stops has to be a good thing. We boarded the A35 with a degree of priority for Premium Economy, the cabin is a small area...",International' 'Premium Economy' 'Manchester - Hong Kong
reasonable airline UNTIL something goes wrong,1,"Our travel agent talked us into paying a lot extra for EXIT seats in economy for more leg room. The flight left late, but we made our connecting flight in Hong Kong on time, but our luggage was NOT transferred. We had to wait eleven hours to resume our trip to London. We were NOT given EXIT seats we paid...",International' 'Economy' 'Adelaide - London
Wonderful Experience!,5,"Flying for twelve hours is not what I would call a great experience. However, Cathay makes it more comfortable and relaxing. The service is spectacular, and the in-flight dining is delicious (for plane food!) The Business Class seats are spacious and can be adjusted with a panel of buttons.",International' 'Business Class' 'Hong Kong - San Francisco
hated the aircraft A33P,3,"original aircraft was a A33K, config on J was 1-2-1, a month ago they changed it to a regional A33P, J changed to 2-2-2, cramped, no leg rest space, hated it, though the service was nice and meal was served promptly, yet CX has a long way to go when comparing to other J classes for eg. the middle east...",Southeast Asia' 'Business Class' 'Hong Kong - Bangkok
Customer service,1,My flight was cancelled due to China air traffic control but we were given no information from CP staff. This happened 3days in a row. After spending all day in the airport having been given $75 voucher we were provided with overnight accommodation at which we arrived at 1am. Second day repeat of day1. Third day I was forced to...,North Asia' 'Economy' 'Hong Kong - Shanghai
Amazing service amazing airline,5,"I booked with Cathay from London to Australia a return flight flying our family of two adults and three children ages 11, 1 and 7.
The meals were decent, we even got a choice and the kids got given children's meals as requested before flying. We got given drinks when requested and snacks where available throughout the flight.
Flight attendants...",International' 'Economy' 'London - Perth
Fabulous,5,"Cathay have such a great business class, it feels like first!
Comfy seat which becomes an amazing bed, duvet not a blanket. The bed is designed so it has a wider bit to fit your shoulders when you lie down, clever idea!
The crew are so friendly and service is excellent. The food was fantastic, as were all the drinks...",International' 'Business Class' 'Hong Kong - London
Not as good as they used nto be,3,"I used to use Cathay in the past (over 1 years ago) and they were WOW. I used them again this time from Zurich to Hong Kong and back, plus HKG to Singapore and back and their level of service was average. The seat was great in terms of privacy, especially the window seats on Business class. Yet I tried...",International' 'Business Class' 'Zurich - Hong Kong
"Cathay Quality is High in Economy, Premium, Business or First",5,"Flew on CX89 from Hong Kong to Newark, NJ. Was upgraded (randomly, I do not have any status) to the premium economy cabin. The cabin seats are arranged in a 2-4-2 pattern and I was given an aisle seat on the left side of the plane in the last row of the cabin. I was able to sleep a full...",International' 'Premium Economy' 'Hong Kong - Newark
VERY DISAPPOINTING,2,"Worst flight I have had in years. The plane was an Airbus (3 I think) with narrow seats that were as uncomfortable as any I have experienced during my 3 plus years of international long haul flights.
Could not be tempted by anything on the dinner menu but decided to try the omelet that was on the breakfast menu. When...",International' 'Premium Economy' 'Hong Kong - Melbourne
Good flight,4,"The service from the cabin crew members were all very polite. The food was edible but not the best. However, some of the in-flight seat TV screens did not work.",International' 'Economy' 'London - Hong Kong
Vietnam Adventure - Cathay Business class long haul with Cathay Dragon (separate review) connections in Asia.,5,"As it happens I flew on Cathay, and experienced the 1st generation lie-flat Business Class on my last trip to Asia in 29. The current product is a big improvement. The herringbone layout is 1-2-1 and on both long-haul flights I was in a center section D seat. The seats are quite spacious and the ‘shell’ of the seat provides...",International' 'Business Class' 'San Francisco - Da Nang
GOOD FLIGHT.,4,This was the return trip and I found this flight way better than than the previous. The service was very good and the food was better. Meals Dinner and Breakfast. Very comfortable seats with good leg room. Plane was about 8% full. The plane was a Boeing 777-3ER.,International' 'Economy' 'Hong Kong - Sydney
DISAPPOINTING.,3,After hearing how good Cathay is I was disappointed. The service was average and the food was also average for a 5star airline maybe having lunch at 4.3pm may have been the problem. The plane a Boeing 777-3ER was comfortable.,International' 'Economy' 'Sydney - Hong Kong
Excellent service.,5,"Apart from the first class service recieved by the crew, the downside of this trip was that it left at 1:AM To us old folks nearly hitting 8 it was too long a wait from morning to be picked up at 8:3PM by the shuttlebus for a flight that was to depart an hour after midnight. Will not do this...",International' 'Premium Economy' 'Brisbane - Hong Kong
Cathay Pacific,5,"This was my first time on Cathay Pacific and I was really excited about flying with them. My journey started at London Heathrow onboard CX238 on their B773 to Hong Kong, with a connection to my final destination Manila. The flight departed London around 18: in the evening 23/9/217. It was an 11 hour nonstop flight to Hong Kong. The...",International' 'Economy' 'London - Manila
Great comfortable flight,4,"I flew from Manchester, UK, to Hong Kong and then onto Manila, Philippines. The staff were very polite and friendly, the food tasted really nice and there was lots of entertainment to watch and listen to so it was hard to get bored.
The 2 down sides to Cathay was that they force you to close you window blinds for...",International' 'Economy' 'Manchester - Manila
I love this airline,5,"In my view one of the most professional outfits in the world. Ok the fleet isn’t all new but customer service, the lounges the airport in HK make it a great option. People living in the fat east only have too great options for me Singapore and Cathay. Just a shame they are in different airline alliances so if you...",International' 'Business Class' 'London - Hong Kong
ALWAYS GOOD ON BIZ CLASS,4,"My PA booked me on biz class since price is reasonable but slightly wasted on me since I am a good traveller and happy to fly premium economy especially on a day flight where sleeping is not really necessary. Anyway, food & wine is good but for some reason never really enjoyed CX biz class ( a bit too tight...",International' 'Business Class' 'Dubai - Hong Kong
Enjoyable!,5,"Hanoi to Hong Kong then a 13 hour flight from Hong Kong to Manchester.
I don't enjoy flying but i enjoyed my experience with Cathay Pacific.
The staff from the check in to the flight were all lovely! Food wasn't great in comparison to Etihad but added extras like bottled water, wet wipes, ice cream and small milk chocolate made...",International' 'Economy' 'Hanoi - Manchester
Pleasant flight,4,"Cathay Pacific flight was very pleasant. Seats were comfortable, plenty of leg room. Meal and flight entertainment were good but not good as Qantas.
Price is reasonable and Hong Kong airport is best transit option.",International' 'Economy' 'Sydney - Hong Kong
Return trip CDG Taipei.,4,"Excellent value combined to a high end service. Short stopover in Hongkong.
Good food, brand new A35 on the way back, excellent entertainment system.
I just miss the landings on Tristars at Kai Tak, but that is history!",International' 'Economy' 'Paris - Taipei
Very Attentive Cabin Crew,4,"The aircraft and inflight facilities were okay. In fact, kind of outdated.
But everything felt clean. Toilets were moderately cleaned during the flights.
What I felt awesome about Cathay Pacific was the inflight service.
By all mean, they have awesome cabin team.
Friendly was a very obvious attitude they showed. But most importantly, they were all very attentive to our...",International' 'Economy' 'Jakarta - Amsterdam
A pleasure to fly with,5,"To me, friendly and helpful staff compensate for a lot of other short-comings. Cathay Pacific staff at all stages of the journey were of the highest quality, with friendliness, courtesy and smiles by the truck load.
The Business Class lounge at Heathrow is a bit tired, but everything works well, and the staff were very welcoming. The selection of food...",International' 'Business Class' 'London - Perth
One World Aliance,5,"Cathay Pacific another classy Airline to fly with. The Cabin Crew were extremely well trained, very polite and sweet natured. The food choices were western or Asian in preparation and very well presented and did I mention delicious yes delicious and very yummy. the seat configuration was OK for those wanting privacy but when you fly with your partner you...",International' 'Business Class' 'Melbourne - Hong Kong
Wonderful experience with an excellent Airline,5,"The ease of flying with Cathay never ceases to amaze me. We used the free government shuttle bus to collect us from our Hotel (Grand Harborside Kowloon) to take us to the express train station for the trip to Hong Kong Airport.
When we arrived at the Kowloon Station we were able to do our check-in there and have our...",International' 'Business Class' 'Hong Kong - Sydney
Amazing customer services team,5,"It was a good flight; decent leg room, food, amenities... but I rate them 5 stars because of their customer services team on the phone. We had a problem with our visa for China and they were incredibly helpful and nice over the phone, and most importantly, they helped us to rearrange our itinerary. Thank you!",International' 'Economy' 'London - Hong Kong
Economy better than expected,4,"Unfortunately not upgraded to Premium Economy this time around.
Economy on Cathay Pacific is pretty much like Economy on every other mid range airline. Not a huge amount for not a huge amount of $$$$.
The food is average airline food and the range of drinks very limited. No fish dish offered at dinner so that was a genuine bonus....",International' 'Economy' 'Hong Kong - Adelaide
PREMIUM ECONOMY IS BEST DEAL FOR DAY FLIGHT TO HKG,4,The flight from JNB to HKG is a day flight leaving 12:3 pm and is a fairly long flight of 12.5 hours ( more or less ). The meals are lunch and breakfast and quite OK for airline food! Wine was naturally nd was well chosen. Basically limited sleeping due to day time flying and really do not see the...,International' 'Premium Economy' 'Johannesburg - Hong Kong
Improving,4,Comfort and Hi-Tech AirbusA35-9. Acceptable legroom and seat was comfort. The monitor was clear and function well for touch screen control.FA services was acceptable. The most remarkable services was served hot food despite that was a simple rice box. It was wonderful compared to EVA served cold food in the same route.,North Asia' 'Economy' 'Hong Kong - Taipei
